<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20061213,000000,13730.0000,13730.0000,13730.0000,13730.0000,83530,0
FPT,D,20061214,000000,14410.0000,14410.0000,14410.0000,14410.0000,280710,0
FPT,D,20061215,000000,15130.0000,15130.0000,15130.0000,15130.0000,265300,0
FPT,D,20061218,000000,15890.0000,15890.0000,15890.0000,15890.0000,215790,0
FPT,D,20061219,000000,16680.0000,16680.0000,16680.0000,16680.0000,137520,0
FPT,D,20061220,000000,17500.0000,17500.0000,17500.0000,17500.0000,220120,0
FPT,D,20061221,000000,17190.0000,17190.0000,16640.0000,16640.0000,156400,0
FPT,D,20061222,000000,15820.0000,15820.0000,15820.0000,15820.0000,143500,0
FPT,D,20061225,000000,15030.0000,15030.0000,15030.0000,15030.0000,22140,0
FPT,D,20061226,000000,14310.0000,15750.0000,14310.0000,15750.0000,300150,0
FPT,D,20061227,000000,16470.0000,16470.0000,16470.0000,16470.0000,413230,0
FPT,D,20061228,000000,16130.0000,16470.0000,16130.0000,16470.0000,144840,0
FPT,D,20061229,000000,15960.0000,15960.0000,15780.0000,15780.0000,69760,0
FPT,D,20070102,000000,15440.0000,15440.0000,15100.0000,15100.0000,81170,0
FPT,D,20070103,000000,15100.0000,15440.0000,15100.0000,15440.0000,74660,0
FPT,D,20070104,000000,16200.0000,16200.0000,16200.0000,16200.0000,148510,0
FPT,D,20070105,000000,16990.0000,16990.0000,16990.0000,16990.0000,377800,0
FPT,D,20070108,000000,17500.0000,17500.0000,16810.0000,16810.0000,351470,0
FPT,D,20070109,000000,16990.0000,16990.0000,16810.0000,16810.0000,225270,0
FPT,D,20070110,000000,16810.0000,16990.0000,16810.0000,16990.0000,314250,0
FPT,D,20070111,000000,17160.0000,17160.0000,17160.0000,17160.0000,283920,0
FPT,D,20070112,000000,18010.0000,18010.0000,18010.0000,18010.0000,279710,0
FPT,D,20070115,000000,18360.0000,18910.0000,18360.0000,18910.0000,274290,0
FPT,D,20070116,000000,19830.0000,19830.0000,19830.0000,19830.0000,339760,0
FPT,D,20070117,000000,20550.0000,20550.0000,18870.0000,18870.0000,145870,0
